quotation_id,customer_key,customer_name,nationality,quote_date,quote_value,shipping_mode,item_count,po_exists,po_value,do_exists,conversion_days,lead_score
0bbe9bed,06fa670b,8ruhF3E51g,Unknown,2022-09-12 14:41:00,1704.53,Air,6.0,1,1704.53,1,-1.0,72.98
0bc787a2,1w5H2WCoXZ,8ruhF3E51g,Unknown,,473.0,Air,1.0,1,473.0,1,-1.0,77.55
0bf94d11,3ae63be1,e2136cb3,United States,,190.0,Air,2.0,1,190.0,1,-1.0,76.84
0bfd991c,6Lwm5z7Yj9,Cdq9LonMZb,Unknown,,1757.0,Air,19.0,0,,0,-1.0,60.05
0c0aaa9f,b0Aif96VUF,8ruhF3E51g,Chinese national (China),2023-12-03 22:12:00,1763.43,Air,12.0,1,1763.43,1,-1.0,67.32
0c0c32e9,xw71fJ415b,sji5vB20uo,Unknown,,744.0,Air,57.0,0,,0,-1.0,21.64
0c39bf7b,xw71fJ415b,sji5vB20uo,Unknown,2022-11-10 14:00:00,7525.599999999999,Sea,57.0,0,,0,-1.0,19.78
0c4a455e,Z3UDr9nQA8,8ruhF3E51g,Unknown,,260.0,Sea,19.0,0,,0,-1.0,60.65
0c54fd0c,9f6c6fcc,8ruhF3E51g,Unknown,,132831.85,Sea,57.0,0,,0,-1.0,2.94
0c54fd0c_R,9f6c6fcc,8ruhF3E51g,Unknown,,112014.9,Sea,57.0,0,,0,-1.0,4.12
0c8d8185,6460ff92,nY8F51VM4y,China,2022-12-04 11:18:00,396.0,Air,14.0,1,396.0,1,-91.0,35.07
0c937702,2f1494a7,14abbd26,Unknown,2022-03-08 13:08:00,343.75,Air,3.0,1,343.75,1,-1.0,75.98
0c9c6b6f,5f502838,74q0TneDjU,Unknown,2022-08-06 16:58:00,710.01,Air,1.0,1,710.01,1,-1.0,77.48
0ca13c76,4f18u3537C,79BSsv9xYm,Singaporean,2023-07-03 17:22:00,318.0,Air,5.0,1,318.0,1,91.0,91.39
0ce4ef31,55kcyJWnQ9,79BSsv9xYm,Chinese national (China),2023-02-03 14:14:00,5998.5,Air,1.0,1,5998.5,1,211.0,98.44
0ce6d1ae,5fiS378Rr1,m41y4XpKb1,Chinese national (China),2022-07-06 17:01:00,1143.0,Air,494.0,0,,0,-1.0,0.0
0d1680f3,9Db6HRRP8a,G4lLPbWTIV,Singaporean,,76927.0,Air,19.0,0,,0,-1.0,29.94
0d481196,ryl1bKOpPO,74q0TneDjU,Caucasian,,920.53,Air,6.0,1,920.53,1,-1.0,73.24
0d66d026,dc701372,8ruhF3E51g,Unknown,2022-06-09 16:49:00,0.0,Air,19.0,0,,0,-1.0,60.75
0d82372c,e5671757,3d6a08ef,Unknown,,1607.26,Air,19.0,0,,0,-1.0,60.11
0daee99f,KDPNJN51Yk,8ruhF3E51g,Chinese national (China),,545.2,Air,19.0,0,,0,-1.0,60.54
0ddf7e83,8Nzo71FGPE,nY8F51VM4y,Chinese National,,4025.02,Air,4.0,1,4025.02,1,-1.0,73.98
0e29525e,HuraT82YGW,8ruhF3E51g,Unknown,2022-07-01 16:42:00,918.4,Not Specified,8.0,1,918.4,1,122.0,93.43
0e2a168a,55kcyJWnQ9,79BSsv9xYm,Chinese national (China),2023-07-03 17:35:00,2830.98,Air,19.0,0,,0,-1.0,59.62
0e3ff513,f52d7cf8,78X4qv1453,Unknown,2023-08-02 16:45:00,974.17,Air,1.0,1,974.17,0,-1.0,77.4
0e7e757a,edcdbe0d,7d6d7608,Unknown,,371.0,Air,1.0,1,371.0,1,-1.0,77.58
0ec522ee,b911b807,09A5j1P96d,Unknown,2022-12-01 15:48:00,977.4,Air,1.0,1,977.4,1,-1.0,77.4
0ef8f668,aH6287thSV,8ruhF3E51g,Chinese national (China),2022-09-11 15:45:00,1441.83,Air,1.0,1,1441.83,0,-1.0,77.27
0f06a7d8,d4189978,Lh624q1u9u,Unknown,2022-01-11 08:32:00,4929.49,Air,19.0,0,,0,-1.0,58.77
0f110e7c,f2680bfb,c7371b62,Unknown,,2966.09,Air,1.0,1,2966.09,1,-1.0,76.82
0f65a531,5d780eb0,78X4qv1453,Unknown,,27057.24,Sea,38.0,0,,0,-1.0,29.5
0f6cb0e0,hnzo75eojx,78X4qv1453,Unknown,,1551.0,Air,4.0,1,1551.0,1,-1.0,74.77
0f89f61b,N6QXxBprMz,8ruhF3E51g,Unknown,2022-05-10 10:07:00,4059.58,Air,19.0,0,,0,-1.0,59.12
0f8f7960,UzdUJe146M,8ruhF3E51g,Unknown,,541.96,Air,1.0,1,541.96,1,-1.0,77.53
0fbfa5ac,96g659z86z,8ruhF3E51g,Unknown,2022-05-03 10:32:00,2055.0,Air,19.0,0,,0,-1.0,59.93
0fcafd54,4O5G9tNusl,8ruhF3E51g,Malaysian,,428.0,Air,19.0,0,,0,-1.0,60.58
0fd2a1e1,3PMyW67W67,8ruhF3E51g,Unknown,2022-02-06 09:47:00,997.0,Air,19.0,0,,0,-1.0,60.35
0fe76a0c,0V2xk11Hj4,3a32oZcB0f,Chinese national (China),,40322.02,Air,418.0,0,,0,-1.0,0.0
1015266c,4dbf6714,9tu60R7KWP,Unknown,,2598.13,Air,19.0,0,,0,-1.0,59.71
10970d22,64a5a3d4,f1fbe367,Japan,,181.08,Air,2.0,1,181.08,1,-1.0,76.84
10d442ab,a2a70b56,8ruhF3E51g,Unknown,2022-08-07 14:39:00,1647.0,Air,39.0,1,1647.0,1,-1.0,37.96
10d9f497,08ac971a,Lh624q1u9u,Unknown,2022-09-12 08:37:00,93.64,Air,1.0,1,93.64,1,0.0,77.9
10dd0cc5,99a27d7f,14ancZS05S,Unknown,2022-01-11 13:40:00,2490.39,Air,231.0,1,2490.39,1,211.0,0.21
10dde08e,99a27d7f,14ancZS05S,Unknown,,267.77,Air,3.0,1,267.77,1,-1.0,76.01
10f79ebd,660014bd,8ruhF3E51g,China,,352.38,Air,4.0,1,352.38,1,-1.0,75.15
10fdc479,189d9dca,nY8F51VM4y,Unknown,,2369.82,Air,1.0,1,2369.82,0,-1.0,76.99
1101f2ba,4fb4fe10,be4d7e8b,Unknown,,692.36,Air,1.0,1,692.36,1,-1.0,77.49
11068dc7,660014bd,8ruhF3E51g,China,2022-07-09 13:16:00,260.97,Air,1.0,1,260.97,1,-1.0,77.61
1113ec86,7a686853,9tu60R7KWP,Unknown,,1581.0,Air,10.0,1,1581.0,1,-1.0,69.33
11238fb5,bfdf28bf,b7b97b2b,Unknown,,1137.36,Air,76.0,0,,0,-1.0,10.44
1145a39b,j6v26jLuwm,8ruhF3E51g,Chinese national (China),,381.59,Air,18.0,1,381.59,1,-1.0,61.67
1199f3af,tE2rb73Kp9,78X4qv1453,Chinese national (China),,625.0,Air,19.0,0,,0,-1.0,60.5
119d376a,58ea2d28,845521b9,Unknown,2022-12-09 10:04:00,134400.0,Air,40.0,1,42560.0,1,-1.0,5.97
11c299a6,3PMyW67W67,8ruhF3E51g,Unknown,2022-01-12 09:35:00,2392.13,Air,95.0,0,,0,-1.0,4.63
11f9d482,43607b90,2253a42a,Thailand,2023-01-02 21:15:00,208.86,Air,2.0,1,208.86,1,0.0,77.09
12250a08,79hR9tOBwB,74q0TneDjU,Unknown,2022-04-05 13:32:00,0.0,Air,0.0,0,,0,-1.0,78.46
1262edbf,7bdbb91d,8ruhF3E51g,Unknown,,334.4,Air,114.0,0,,0,-1.0,2.09
12cb5184,TELcJA9M9q,Lh624q1u9u,Unknown,2022-07-11 14:09:00,2903.68,Air,8.0,1,2903.68,1,30.0,78.95
12e2ac26,941d1944,78X4qv1453,Unknown,2023-01-03 11:14:00,2233.63,Air,6.0,1,2233.63,1,180.0,97.19
1309e8f1,6e098aa6,bc7e7686,United States,2022-09-12 15:05:00,593.0,Air,2.0,1,593.0,1,0.0,76.97
1321768b,0fc805bf,78X4qv1453,Unknown,2022-04-03 18:21:00,1221.0,Air,1.0,1,1221.0,1,182.0,97.84
13629233,64c0444d,gj3Nvpx9GU,Unknown,2023-03-01 16:11:00,210.0,Air,19.0,0,,0,-1.0,60.67
13725ff0,X90cRum7fq,x9Dz6KWcO3,Chinese national,2023-07-03 11:59:00,645.97,Air,9.0,1,645.97,1,-1.0,70.61
1375ae31,90b44782,6z1536hQ1C,Unknown,,4076.15,Air,1.0,1,4076.15,1,-1.0,76.48
137a0c74,ryl1bKOpPO,74q0TneDjU,Caucasian,2022-04-10 12:28:00,575.12,Air,38.0,0,,0,-1.0,39.45
1396d28b,5fiS378Rr1,m41y4XpKb1,Chinese national (China),2022-08-06 08:54:00,1141.0,Air,6.0,1,1141.0,1,-1.0,73.17
13dd206f,ryl1bKOpPO,74q0TneDjU,Caucasian,,843.17,Air,4.0,1,843.17,1,-1.0,74.99
13eb39b8,hL800efJnq,14ancZS05S,Unknown,,293.81,Air,27.0,1,293.81,1,-1.0,51.79
